Month,HS Code,Category,Value EUR,Net Weight kg
2011-01,52,"Cotton yarn & woven cotton",437859,93169
2011-02,52,"Cotton yarn & woven cotton",730955,124571
2011-03,52,"Cotton yarn & woven cotton",971957,263856
2011-04,52,"Cotton yarn & woven cotton",678910,104076
2011-05,52,"Cotton yarn & woven cotton",1121600,188689
2011-06,52,"Cotton yarn & woven cotton",986809,172657
2011-07,52,"Cotton yarn & woven cotton",1049862,222673.99999999997
2011-08,52,"Cotton yarn & woven cotton",604624,118006
2011-09,52,"Cotton yarn & woven cotton",725562,139004
2011-10,52,"Cotton yarn & woven cotton",1242797,289272
2011-11,52,"Cotton yarn & woven cotton",1202476,435829
2011-12,52,"Cotton yarn & woven cotton",673012,118248
2012-01,52,"Cotton yarn & woven cotton",978583,232896.99999999997
2012-02,52,"Cotton yarn & woven cotton",823139,207335
2012-03,52,"Cotton yarn & woven cotton",933831,203952
2012-04,52,"Cotton yarn & woven cotton",823263,166445
2012-05,52,"Cotton yarn & woven cotton",502265,60522
2012-06,52,"Cotton yarn & woven cotton",675475,214258
2012-07,52,"Cotton yarn & woven cotton",1125193,478755
2012-08,52,"Cotton yarn & woven cotton",643636,115638.00000000001
2012-09,52,"Cotton yarn & woven cotton",738316,124458.99999999999
2012-10,52,"Cotton yarn & woven cotton",958980,191768
2012-11,52,"Cotton yarn & woven cotton",680475,170939
2012-12,52,"Cotton yarn & woven cotton",1075849,362530
2013-01,52,"Cotton yarn & woven cotton",737767,167835
2013-02,52,"Cotton yarn & woven cotton",895787,256632.00000000003
2013-03,52,"Cotton yarn & woven cotton",959068,312080
2013-04,52,"Cotton yarn & woven cotton",912419,220585
2013-05,52,"Cotton yarn & woven cotton",574079,74955
2013-06,52,"Cotton yarn & woven cotton",884376,266385
2013-07,52,"Cotton yarn & woven cotton",846688,197461
2013-08,52,"Cotton yarn & woven cotton",748514,171275
2013-09,52,"Cotton yarn & woven cotton",978399,246869.99999999997
2013-10,52,"Cotton yarn & woven cotton",619708,250932.00000000003
2013-11,52,"Cotton yarn & woven cotton",880895,378686
2013-12,52,"Cotton yarn & woven cotton",614506,204763
2014-01,52,"Cotton yarn & woven cotton",1046319,445179
2014-02,52,"Cotton yarn & woven cotton",1143666,430362
2014-03,52,"Cotton yarn & woven cotton",689333,118975
2014-04,52,"Cotton yarn & woven cotton",986656,330730
2014-05,52,"Cotton yarn & woven cotton",800825,266939
2014-06,52,"Cotton yarn & woven cotton",904624,278462
2014-07,52,"Cotton yarn & woven cotton",831954,208134
2014-08,52,"Cotton yarn & woven cotton",571379,174339
2014-09,52,"Cotton yarn & woven cotton",788754,170316
2014-10,52,"Cotton yarn & woven cotton",670950,210494.99999999997
2014-11,52,"Cotton yarn & woven cotton",602210,171129
2014-12,52,"Cotton yarn & woven cotton",794514,143065
2015-01,52,"Cotton yarn & woven cotton",1204862,228663
2015-02,52,"Cotton yarn & woven cotton",821042,148723
2015-03,52,"Cotton yarn & woven cotton",902239,167466
2015-04,52,"Cotton yarn & woven cotton",1005665,195839
2015-05,52,"Cotton yarn & woven cotton",623553,92952
2015-06,52,"Cotton yarn & woven cotton",719142,127013.00000000001
2015-07,52,"Cotton yarn & woven cotton",883247,181080
2015-08,52,"Cotton yarn & woven cotton",600330,230279
2015-09,52,"Cotton yarn & woven cotton",615642,136343
2015-10,52,"Cotton yarn & woven cotton",885218,179891
2015-11,52,"Cotton yarn & woven cotton",650832,132422
2015-12,52,"Cotton yarn & woven cotton",605989,99785
2016-01,52,"Cotton yarn & woven cotton",950367,371035
2016-02,52,"Cotton yarn & woven cotton",1041511,271633
2016-03,52,"Cotton yarn & woven cotton",1114308,303399
2016-04,52,"Cotton yarn & woven cotton",992252,297229
2016-05,52,"Cotton yarn & woven cotton",789779,263839
2016-06,52,"Cotton yarn & woven cotton",1407626,177104
2016-07,52,"Cotton yarn & woven cotton",665321,128167
2016-08,52,"Cotton yarn & woven cotton",373970,44844
2016-09,52,"Cotton yarn & woven cotton",763644,119491.00000000001
2016-10,52,"Cotton yarn & woven cotton",812095,137126
2016-11,52,"Cotton yarn & woven cotton",1045756,168794
2016-12,52,"Cotton yarn & woven cotton",847222,192371
2017-01,52,"Cotton yarn & woven cotton",770936,168857
2017-02,52,"Cotton yarn & woven cotton",639678,132897
2017-03,52,"Cotton yarn & woven cotton",886099,180922
2017-04,52,"Cotton yarn & woven cotton",560969,170873
2017-05,52,"Cotton yarn & woven cotton",785194,172740
2017-06,52,"Cotton yarn & woven cotton",864482,234012
2017-07,52,"Cotton yarn & woven cotton",675371,165135
2017-08,52,"Cotton yarn & woven cotton",414948,102305
2017-09,52,"Cotton yarn & woven cotton",578172,106133.99999999999
2017-10,52,"Cotton yarn & woven cotton",752074,162794
2017-11,52,"Cotton yarn & woven cotton",712380,121873
2017-12,52,"Cotton yarn & woven cotton",538658,111850
2018-01,52,"Cotton yarn & woven cotton",1062459,199123
2018-02,52,"Cotton yarn & woven cotton",343332,59092.99999999999
2018-03,52,"Cotton yarn & woven cotton",623545,119304
2018-04,52,"Cotton yarn & woven cotton",711700,145908
2018-05,52,"Cotton yarn & woven cotton",649307,239873.99999999997
2018-06,52,"Cotton yarn & woven cotton",715510,123060.99999999999
2018-07,52,"Cotton yarn & woven cotton",438943,82924
2018-08,52,"Cotton yarn & woven cotton",368660,37588
2018-09,52,"Cotton yarn & woven cotton",663727,163236
2018-10,52,"Cotton yarn & woven cotton",1030423,238344
2018-11,52,"Cotton yarn & woven cotton",705830,118721
2018-12,52,"Cotton yarn & woven cotton",697441,132456
2019-01,52,"Cotton yarn & woven cotton",529614,65202
2019-02,52,"Cotton yarn & woven cotton",574221,70673
