Grain,HS2,Category,OriginYearMonth,TargetYearMonth,Horizon,Method,ActualEUR,ForecastEUR,APE,ResidualPct,RedSeaRegime
category,52,Cotton yarn & woven cotton,2012-12,2013-01,1,seasonal-naive + trend,737767,1040290.2912050295,0.4100526198718965,-0.2908066082733493,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2012-12,2013-01,1,seasonal-naive,737767,978583,0.32641199728369524,-0.24608643313852785,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2012-12,2013-01,1,last-month naive,737767,1075849,0.458250369018945,-0.314246701907052,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2012-12,2013-02,2,seasonal-naive + trend,895787,875044.334524733,0.023155800960794237,0.023704702329777436,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2012-12,2013-02,2,seasonal-naive,895787,823139,0.08109963640910171,0.08825726882094033,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2012-12,2013-02,2,last-month naive,895787,1075849,0.20100983827628666,-0.16736735359701965,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2012-12,2013-03,3,seasonal-naive + trend,959068,992716.3285345074,0.03508440333167974,-0.033895210109196654,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2012-12,2013-03,3,seasonal-naive,959068,933831,0.026314088260686416,0.027025232617036703,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2012-12,2013-03,3,last-month naive,959068,1075849,0.12176508860685582,-0.10854776088465946,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-01,2013-02,1,seasonal-naive + trend,895787,773454.3260329599,0.1365644667393478,0.15816405681571827,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-01,2013-02,1,seasonal-naive,895787,823139,0.08109963640910171,0.08825726882094033,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-01,2013-02,1,last-month naive,895787,737767,0.17640354235995834,0.21418686387436683,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-01,2013-03,2,seasonal-naive + trend,959068,877464.9563848693,0.08508577453854232,0.09299863546839857,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-01,2013-03,2,seasonal-naive,959068,933831,0.026314088260686416,0.027025232617036703,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-01,2013-03,2,last-month naive,959068,737767,0.23074589080232058,0.29996055665271015,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-01,2013-04,3,seasonal-naive + trend,912419,773570.8413923682,0.1521758738119568,0.17948990729500064,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-01,2013-04,3,seasonal-naive,912419,823263,0.0977138792594192,0.1082958908635515,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-01,2013-04,3,last-month naive,912419,737767,0.19141644354183768,0.23673056669653156,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-02,2013-03,1,seasonal-naive + trend,959068,874518.9376395325,0.08815752622386265,0.09668065346724114,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-02,2013-03,1,seasonal-naive,959068,933831,0.026314088260686416,0.027025232617036703,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-02,2013-03,1,last-month naive,959068,895787,0.0659817656307999,0.07064290953094876,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-02,2013-04,2,seasonal-naive + trend,912419,770973.6388682047,0.15502237582930137,0.18346329109181767,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-02,2013-04,2,seasonal-naive,912419,823263,0.0977138792594192,0.1082958908635515,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-02,2013-04,2,last-month naive,912419,895787,0.01822846740368186,0.018566913786424676,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-02,2013-05,3,seasonal-naive + trend,574079,470363.75341311196,0.18066371803686956,0.22050008282801675,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-02,2013-05,3,seasonal-naive,574079,502265,0.12509428144906887,0.14298029924442276,pre-Nov 2023
