Date,YearMonth,Grain,HS2,Category,Horizon,Method,GrowthG,ForecastEUR,ForecastTonnes,BandLowerEUR,BandUpperEUR,BandType,SigmaH,Skew
2026-07-01,2026-07,category,52,Cotton yarn & woven cotton,1,seasonal-naive + trend,0.01322649718817164,1562393.2322111663,491.06230264841145,884457.1078348461,2159879.008388102,p10/p90,0.44591643677986714,2.6294000967832374
2026-08-01,2026-08,category,52,Cotton yarn & woven cotton,2,seasonal-naive + trend,0.01322649718817164,936374.2806029461,324.0206923541274,516252.6015734134,1359303.6378260986,p10/p90,0.47582514906004864,3.632370461102642
2026-09-01,2026-09,category,52,Cotton yarn & woven cotton,3,seasonal-naive + trend,0.01322649718817164,1010557.658594578,364.6063529569399,572341.4856822987,1499691.8859080917,p10/p90,0.4598378663726461,2.959120030564501
2026-07-01,2026-07,category,61,Knitted apparel,1,seasonal-naive + trend,-0.04516154512815402,31653487.733682167,1910.909680001277,23198371.675311983,40027524.18810222,p10/p90,0.22733448837803263,1.006386646789054
2026-08-01,2026-08,category,61,Knitted apparel,2,seasonal-naive + trend,-0.04516154512815402,26217681.210073054,1505.9444789925128,18724370.020245682,33708307.86011584,p10/p90,0.2474495959392855,1.1050873191359223
2026-09-01,2026-09,category,61,Knitted apparel,3,seasonal-naive + trend,-0.04516154512815402,19110799.493692804,1136.2897406817613,13701693.41061513,24841709.64267476,p10/p90,0.26130636001228474,1.1241152768816147
2026-07-01,2026-07,category,62,Woven apparel,1,seasonal-naive + trend,-0.043341818782714044,35754765.649290815,1035.3279191512063,28056185.55659655,42580826.208737515,p10/p90,0.21940424502936445,1.3884873941972256
2026-08-01,2026-08,category,62,Woven apparel,2,seasonal-naive + trend,-0.043341818782714044,24332422.900839962,776.4162268223016,18722771.29204915,29703731.551067587,p10/p90,0.23888887057127725,1.6168670485061356
2026-09-01,2026-09,category,62,Woven apparel,3,seasonal-naive + trend,-0.043341818782714044,21296594.441626824,703.89791001715,16338165.937504943,26061831.411428317,p10/p90,0.24740655065303782,1.7022246866579582
2026-07-01,2026-07,category,63,Made-ups / home textiles,1,seasonal-naive + trend,-0.04999285660716957,15123127.615399018,4446.197480972322,11167449.981389556,19229285.702424575,p10/p90,0.3272682026319299,5.000529602421591
2026-08-01,2026-08,category,63,Made-ups / home textiles,2,seasonal-naive + trend,-0.04999285660716957,12618335.931108052,4074.4296270904906,9225992.874436533,16274309.122865066,p10/p90,0.3700262886330072,5.312183769040744
2026-09-01,2026-09,category,63,Made-ups / home textiles,3,seasonal-naive + trend,-0.04999285660716957,13682421.83229378,4408.5393381121685,9722819.349207213,17729377.814070925,p10/p90,0.3844597774755412,4.918351879211019
2026-07-01,2026-07,category,64,Footwear,1,seasonal-naive + trend,-0.19173353243114474,9405918.123068905,453.8725157181332,6860211.737816043,12574474.326991023,p10/p90,0.26348624045158414,1.4968380170142868
2026-08-01,2026-08,category,64,Footwear,2,seasonal-naive + trend,-0.19173353243114474,10094608.841159156,508.5384343288654,7352716.462679296,13631492.525207002,p10/p90,0.274684887431746,1.6148404970259564
2026-09-01,2026-09,category,64,Footwear,3,seasonal-naive + trend,-0.19173353243114474,11652646.72377244,553.6003634101057,8250861.719219791,15639133.6999809,p10/p90,0.27884807207477663,1.6363097311743215
2026-07-01,2026-07,basket,BASKET,Soft goods basket,1,seasonal-naive + trend,-0.06629257199633629,93019091.77624649,8243.14545275008,75792688.14499378,110112093.99612111,p10/p90,0.2003060119948714,1.7592059308171164
2026-08-01,2026-08,basket,BASKET,Soft goods basket,2,seasonal-naive + trend,-0.06629257199633629,74312137.4056903,7107.638625401996,58665161.806776404,88259051.20694607,p10/p90,0.22080309532316472,2.0770404936213276
2026-09-01,2026-09,basket,BASKET,Soft goods basket,3,seasonal-naive + trend,-0.06629257199633629,67313568.8599711,7028.229811179953,52886723.350847796,82702038.1357408,p10/p90,0.23342748552844864,2.2048812503979787
