Date,YearMonth,HS2,Category,ValueEUR,Qty100kg,WeightKg,WeightTonnes,UnitValueEurPerKg,ValueMissing,QtyMissing
2011-01-01,2011-01,52,Cotton yarn & woven cotton,437859,931.69,93169,93.16900000000001,4.699621118612414,false,false
2011-01-01,2011-01,61,Knitted apparel,29374404,16449.16,1644916,1644.9160000000002,17.857692429279062,false,false
2011-01-01,2011-01,62,Woven apparel,37059564,12422.63,1242263,1242.263,29.83230121157919,false,false
2011-01-01,2011-01,63,Made-ups / home textiles,7981793,15770.33,1577033,1577.0330000000001,5.061272021574691,false,false
2011-01-01,2011-01,64,Footwear,12037100,7482.86,748286,748.2860000000001,16.086229062150032,false,false
2011-02-01,2011-02,52,Cotton yarn & woven cotton,730955,1245.71,124571,124.57100000000001,5.867778214833308,false,false
2011-02-01,2011-02,61,Knitted apparel,33260760,18285.78,1828578,1828.578,18.189412756797907,false,false
2011-02-01,2011-02,62,Woven apparel,46806094,16140.91,1614091,1614.0910000000001,28.99842326114203,false,false
2011-02-01,2011-02,63,Made-ups / home textiles,8832581,19773.11,1977311,1977.3110000000001,4.466965995738657,false,false
2011-02-01,2011-02,64,Footwear,15370173,9926.66,992666,992.666,15.483730680813084,false,false
2011-03-01,2011-03,52,Cotton yarn & woven cotton,971957,2638.56,263856,263.856,3.6836645746164574,false,false
2011-03-01,2011-03,61,Knitted apparel,35292536,19183.08,1918308.0000000002,1918.3080000000002,18.39774217696011,false,false
2011-03-01,2011-03,62,Woven apparel,52058916,17825.04,1782504,1782.5040000000001,29.20549743506887,false,false
2011-03-01,2011-03,63,Made-ups / home textiles,10451712,22662.86,2266286,2266.286,4.611823926900665,false,false
2011-03-01,2011-03,64,Footwear,18106902,11152.51,1115251,1115.251,16.235719134078337,false,false
2011-04-01,2011-04,52,Cotton yarn & woven cotton,678910,1040.76,104076,104.07600000000001,6.5232138052961295,false,false
2011-04-01,2011-04,61,Knitted apparel,24012588,13044.18,1304418,1304.4180000000001,18.408660414069722,false,false
2011-04-01,2011-04,62,Woven apparel,44152811,15662.3,1566230,1566.23,28.19050267202135,false,false
